,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc_x,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district_encoded
25,2017-07-01,Bandarbeyla,27594.135,5518.826999999998,2238.4362312,1865.363526,373.0727052,0.4056,0.0676,0.15,12.158333333333331,0.13833333333333334,30.0,2.1666666666666665,,9.229735,50.32945,,0.3432000000000001,7,False,-0.0623999999999999,10
26,2017-07-01,Waajid,85276.75499999999,17055.351000000002,8292.3116562,5897.7403758,2394.5712804,0.4861999999999999,0.1403999999999999,0.44,26.048333333333332,0.25666666666666665,,7.0,2.75,3.81645,43.43285,,0.4861999999999999,7,True,0.0,71
27,2017-07-01,Banadir,2077273.9450000003,415454.789,161739.17677320002,124196.91749400004,37542.259279200014,0.3893063241911505,0.0903642472615715,0.1,28.77,,,14.0,55.833333333333336,2.110552,45.42547,,0.2912,7,False,-0.0981063241911505,9
28,2017-07-01,Buur Hakaba,165968.46,33193.692,11909.896689600002,8198.841924000002,3711.0547656,0.3588,0.1117999999999999,0.35,34.945,0.34833333333333333,52.5,6.166666666666667,4.666666666666667,2.485374,44.00688,,0.2886,7,False,-0.07019999999999998,24
29,2017-07-01,Wanla Weyn,227667.915,45533.583,16810.9988436,13022.604737999998,3788.3941056,0.3692,0.0832,0.06,17.33,0.25333333333333335,10.0,8.0,3.0,2.791644,44.90646999999999,,0.351,7,False,-0.018199999999999994,72
30,2017-07-01,Laas Caanood,170114.66999999998,34022.934,15038.136828000002,11499.751692000002,3538.385136000001,0.4420000000000001,0.104,0.39,14.101666666666667,0.15333333333333335,107.08333333333333,6.0,4.166666666666667,8.438008,47.63642000000001,,0.2912,7,False,-0.1508000000000001,55
31,2017-07-01,Kurtunwaarey,95730.255,19146.051,7068.722029199997,5475.770585999999,1592.9514432,0.3691999999999999,0.0832,0.17,38.73833333333334,0.40166666666666667,10.0,5.833333333333333,1.75,1.674606,44.06695,,0.3510000000000001,7,False,-0.018199999999999827,54
32,2017-07-01,Eyl,105162.21,21032.442000000006,9515.0767608,7929.230634,1585.8461268,0.4523999999999999,0.0753999999999999,0.26,18.746666666666666,0.14833333333333334,60.0,3.1666666666666665,1.0,8.094348,49.56446,,0.3796,7,False,-0.07279999999999992,39
33,2017-07-01,Galdogob,85807.70999999999,17161.541999999998,8120.841674399999,6514.521343199999,1606.3203311999994,0.4732,0.0936,0.34,14.025,0.17666666666666667,,1.3333333333333333,1.0,7.039169,47.22166000000001,,0.4004,7,False,-0.07280000000000003,41
34,2017-07-01,Doolow,50233.7,10046.74,4376.618584000002,3699.313124,677.3054599999998,0.4356257436740676,0.0674154462044404,0.23,18.89166666666667,0.18000000000000002,,1.1666666666666667,1.0,4.0025330000000015,42.1408,,0.3926,7,False,-0.043025743674067585,38
35,2017-07-01,Garbahaarey,91374.975,18274.995,7887.487842,6699.613167,1187.874675,0.4316,0.065,0.23,27.505,0.24833333333333332,,2.3333333333333335,1.2,3.2059990000000003,42.35913,,0.3926,7,False,-0.03899999999999998,42
36,2017-07-01,Diinsoor,100108.305,20021.661,7183.771966800001,4945.350267000002,2238.4216998,0.3588000000000001,0.1118,0.39,43.044999999999995,0.37166666666666665,38.291666666666664,9.333333333333334,3.0,2.102024,42.90189,,0.2886000000000001,7,False,-0.07020000000000004,37
37,2017-07-01,Garoowe,207534.915,41506.983,19024.629109200006,15697.506591,3327.122518200001,0.4583476739130861,0.0801581391304687,0.13,19.626666666666665,0.13833333333333334,4.166666666666667,6.833333333333333,3.0,8.470396000000001,48.786390000000004,,0.3796,7,False,-0.07874767391308612,43
38,2017-07-01,Dhuusamarreeb,166457.645,33291.528999999995,17555.47508,13450.048211599998,4105.4268684,0.5273255872387238,0.1233174621808448,0.37,10.686666666666667,0.18833333333333332,18.375,5.166666666666667,1.8,5.441128,46.68404999999999,,0.4212,7,False,-0.10612558723872378,36
39,2017-07-01,Gebiley,146038.5,29207.7,9872.2026,7442.121959999998,2430.08064,0.3379999999999999,0.0831999999999999,0.15,27.05333333333333,0.17,10.166666666666666,3.3333333333333335,1.5,9.859568,43.68093,,0.1975999999999999,7,False,-0.14040000000000002,44
40,2017-07-01,Ceerigaabo,239221.62,47844.324,21271.5864504,16731.1601028,4540.4263476000015,0.4446000000000001,0.0949,0.34,16.77,0.13333333333333333,44.583333333333336,5.166666666666667,1.0,10.29076,47.8071,,0.3367000000000001,7,False,-0.1079,35
41,2017-07-01,Hargeysa,1071923.705,214384.741,73445.88245800001,55654.83200680001,17791.050451200004,0.3425891325819686,0.0829865519729317,0.08,19.463333333333335,0.0,12.0,6.5,3.1666666666666665,9.521626,44.28073,,0.1976,7,False,-0.1449891325819686,45
42,2017-07-01,Ceel Waaq,32041.53,6408.306000000001,2765.8248696,2349.2849796,416.53989000000007,0.4315999999999999,0.065,0.14,33.525,0.295,15.666666666666666,7.5,3.0,2.6789779999999994,41.44526,,0.3925999999999998,7,False,-0.03900000000000009,34
43,2017-07-01,Hobyo,285434.37,57086.874,27013.508776800005,21670.177370400004,5343.3314064000015,0.4732000000000001,0.0936,0.5,8.616666666666667,0.1416666666666667,20.0,5.666666666666667,2.2,5.971543,48.20153,,0.4003999999999999,7,False,-0.0728000000000002,46
44,2017-07-01,Ceel Dheer,130366.52999999998,26073.306,13558.11912,10439.751722399997,3118.3673976,0.52,0.1196,0.38,19.483333333333334,0.19166666666666665,23.125,3.3333333333333335,1.0,4.051839,47.04731999999999,,0.4212,7,False,-0.0988,33
45,2017-07-01,Iskushuban,82588.86,16517.772,6699.608323200001,5583.0069360000025,1116.6013872,0.4056,0.0676,0.28,7.430000000000001,0.1366666666666667,30.0,2.1666666666666665,1.5,10.5516,50.50521,,0.3432000000000001,7,False,-0.0623999999999999,47
46,2017-07-01,Ceel Buur,141229.88999999998,28245.978,14687.90856,11309.6895912,3378.2189688000008,0.52,0.1196,0.33,12.718333333333334,0.19999999999999998,,2.0,2.3333333333333335,4.760488,46.84157,,0.4212,7,False,-0.0988,32
47,2017-07-01,Jalalaqsi,76346.775,15269.355,6550.553295000002,5280.142959000002,1270.410336,0.4290000000000001,0.0832,0.33,16.093333333333334,0.25833333333333336,10.0,5.333333333333333,1.5,3.40329,45.61273,,0.3925999999999999,7,False,-0.03640000000000021,48
48,2017-07-01,Ceel Barde,46070.955,9214.191,4479.939664199998,3186.2672477999995,1293.6724163999995,0.4861999999999999,0.1403999999999999,0.43,17.205000000000002,0.22333333333333336,48.833333333333336,9.5,2.0,4.673877,43.99833,,0.4861999999999999,7,True,0.0,31
49,2017-07-01,Jamaame,169536.10499999998,33907.221,14634.356583600002,12430.3872186,2203.969365,0.4316000000000001,0.065,0.28,61.74666666666667,0.37666666666666665,10.0,4.5,1.3333333333333333,0.124303,42.80163000000001,,0.3926,7,False,-0.03900000000000009,49
50,2017-07-01,Ceel Afweyn,137053.66499999998,27410.733,12186.811891799998,9585.5333301,2601.2785616999995,0.4446,0.0949,0.38,15.371666666666668,0.135,45.0,4.5,1.0,10.14797,46.68845000000001,,0.3367,7,False,-0.1079,30
51,2017-07-01,Jariiban,83205.71999999999,16641.143999999997,7874.589340799997,6316.978262399999,1557.611078399999,0.4732,0.0935999999999999,0.38,10.07,0.15333333333333335,50.0,3.3333333333333335,,7.163778999999999,48.9986,,0.4004,7,False,-0.07280000000000003,50
52,2017-07-01,Caynabo,69235.29,13847.058,6120.399636,4680.305604,1440.094032,0.442,0.104,0.43,16.83,0.15,,2.0,1.0,9.282376,46.49009,,0.2912,7,False,-0.1508,29
53,2017-07-01,Jilib,103739.085,20747.817,8954.757817200001,7606.149712200001,1348.608105,0.4316000000000001,0.065,0.14,70.79833333333333,0.45166666666666666,30.0,7.5,1.75,0.6450100000000001,43.05589000000001,,0.3926,7,False,-0.03900000000000009,51
54,2017-07-01,Caluula,67184.955,13436.991000000002,5450.043549600001,4541.702958000002,908.3405916000004,0.4056,0.0676,0.38,5.688333333333333,0.17166666666666666,20.0,2.6666666666666665,1.0,11.66822,50.79402000000001,,0.3432000000000001,7,False,-0.0623999999999999,28
55,2017-07-01,Jowhar,279295.785,55859.157,20623.200764400004,15975.718902,4647.481862400001,0.3692000000000001,0.0832,0.07,15.24,0.255,16.0,5.833333333333333,13.333333333333334,2.993369,45.56808,,0.351,7,False,-0.018200000000000105,52
56,2017-07-01,Cadale,48461.80499999999,9692.361,3578.419681199998,2772.0152459999986,806.4044352000003,0.3691999999999999,0.0832,0.17,18.94333333333333,0.22,30.0,6.5,1.8,3.091515,46.26282,,0.351,7,False,-0.01819999999999994,27
57,2017-07-01,Kismaayo,228785.545,45757.109,19473.1682444,16514.556159400006,2958.612085,0.4255768922026957,0.0646590693699639,0.3,56.086666666666666,0.41333333333333333,70.0,8.833333333333334,14.0,-0.3811448,42.00865,,0.3925999999999999,7,False,-0.032976892202695784,53
58,2017-07-01,Cadaado,81479.34,16295.868,8473.851359999999,6524.865547200001,1948.9858128,0.5199999999999999,0.1195999999999999,0.33,8.985000000000001,0.17666666666666667,,2.8333333333333335,2.25,6.130694000000001,47.03673,,0.4212,7,False,-0.09879999999999989,26
59,2017-07-01,Cabudwaaq,73330.78499999999,14666.157,7626.401640000001,5872.329262800001,1754.0723772,0.5200000000000001,0.1196,0.36,11.251666666666665,0.18999999999999997,15.333333333333334,5.5,2.5,5.826085,46.125,,0.4212,7,False,-0.09880000000000011,25
60,2017-07-01,Balcad,141077.745,28215.549,10417.1806908,8069.647014,2347.5336768,0.3692,0.0832,0.14,20.658333333333335,0.27166666666666667,40.0,7.0,4.0,2.488555,45.659079999999996,,0.351,7,False,-0.018199999999999994,8
61,2017-07-01,Burco,560644.8949999999,112128.979,37668.71744740001,28428.234721900004,9240.4827255,0.3359409653359994,0.0824094075225638,0.23,18.7,0.18500000000000003,6.516666666666667,7.666666666666667,4.25,9.141337,45.75868,,0.2028,7,False,-0.13314096533599937,21
62,2017-07-01,Gaalkacyo,630641.6,126128.32,60502.893984,48576.846032,11926.047952,0.479693172667328,0.0945548783334305,0.58,11.296666666666667,0.17500000000000002,20.0,10.5,9.166666666666666,6.935230000000002,47.68801,,0.4004,7,False,-0.07929317266732805,40
63,2017-07-01,Baki,70268.22,14053.643999999998,5334.7632624,4220.3092932,1114.4539692,0.3796000000000001,0.0793,0.23,12.969999999999999,0.12666666666666668,,1.3333333333333333,,10.28566,43.7321,,0.1689999999999999,7,False,-0.2106000000000002,7
64,2017-07-01,Zeylac,64412.19,12882.438,4890.1734648,3868.5961314,1021.5773334,0.3796,0.0793,0.39,9.298333333333334,0.09666666666666668,4.916666666666667,4.5,1.0,10.89293,43.16827,,0.1689999999999999,7,False,-0.2106000000000001,76
65,2017-07-01,Laasqoray,186893.055,37378.611,16618.530450600007,13071.300266700006,3547.230183899999,0.4446000000000001,0.0948999999999999,0.35,14.268333333333333,0.15,,1.1666666666666667,1.0,10.53805,48.69515999999999,,0.3367,7,False,-0.1079000000000001,56
66,2017-07-01,Badhaadhe,50723.28,10144.656,4378.433529600001,3719.030889600001,659.4026400000001,0.4316000000000001,0.065,0.15,63.031666666666666,0.49,,1.8333333333333333,4.0,-0.8536984000000002,41.42942,,0.3926000000000001,7,False,-0.03899999999999998,4
67,2017-07-01,Xudur,113853.105,22770.621,11071.0759302,7874.080741799998,3196.9951884,0.4862,0.1404,0.45,17.761666666666667,0.24666666666666667,32.208333333333336,8.5,2.3333333333333335,4.188905999999999,43.90622,,0.4862,7,True,0.0,75
68,2017-07-01,Afgooye,309683.38499999995,61936.677,22867.021148400006,17713.889621999995,5153.1315264,0.3692,0.0831999999999999,0.09,23.366666666666664,0.25666666666666665,15.0,9.5,18.166666666666668,2.236402,45.07666,,0.351,7,False,-0.018199999999999994,1
69,2017-07-01,Xarardheere,278193.50999999995,55638.70199999999,26328.233786400004,21120.451279199995,5207.782507199999,0.4732000000000002,0.0936,0.25,14.223333333333334,0.15666666666666668,10.833333333333334,6.0,3.5,4.793407,47.83268,,0.4004000000000001,7,False,-0.07280000000000009,73
70,2017-07-01,Baardheere,170132.26499999998,34026.453,14685.817114800002,12474.0976698,2211.719445,0.4316,0.0649999999999999,0.21,38.105,0.28833333333333333,8.0,8.166666666666666,4.0,2.102048,41.70671,,0.3926,7,False,-0.03899999999999998,3
71,2017-07-01,Afmadow,80386.78,16077.356000000002,6763.226849600002,5704.678709600003,1058.54814,0.4206678541919456,0.0658409342929272,0.1,55.971666666666664,0.365,33.75,5.0,3.0,0.5909003,41.78618,,0.3926,7,False,-0.028067854191945574,2
72,2017-07-01,Baidoa,450683.52,90136.704,34017.7997952,23284.863888000003,10732.9359072,0.3774023043398614,0.1190739779790483,0.39,32.67333333333333,0.35000000000000003,36.041666666666664,14.0,11.0,3.266359,43.639289999999995,,0.2886,7,False,-0.08880230433986136,6
73,2017-07-01,Xudun,42361.515,8472.303,3744.757926,2863.638414,881.1195119999999,0.442,0.1039999999999999,0.46,15.235,0.12666666666666668,225.0,1.6666666666666667,,9.141643,47.50746999999999,,0.2912,7,False,-0.1508,74
74,2018-01-01,Marka,282222.765,56444.55299999999,19812.038103,15262.6071312,4549.4309718,0.351,0.0806,0.03,14.213333333333333,0.3116666666666667,42.166666666666664,11.0,13.833333333333334,1.740153,44.71787,0.3692,0.3971406259324205,1,True,0.04614062593242052,60
75,2018-01-01,Burco,534884.8949999999,106976.979,21694.9313412,17244.6890148,4450.2423264,0.2028,0.0416,0.05,15.870000000000003,0.18500000000000003,8.733333333333333,7.0,3.5,9.141337,45.75868,0.3359409653359994,0.2211366753028379,1,True,0.01833667530283789,21
76,2018-01-01,Qoryooley,196309.485,39261.897,13780.925847,10616.4169488,3164.5088982,0.351,0.0805999999999999,0.09,20.61,0.3466666666666667,20.5,7.833333333333333,5.666666666666667,1.9345550000000002,44.44943,0.3691999999999998,0.4363798525409665,1,True,0.08537985254096653,65
77,2018-01-01,Gaalkacyo,584319.6,116863.92,46792.313568,40107.697344,6684.616223999999,0.4004,0.0571999999999999,0.29,10.981666666666667,0.18000000000000002,20.0,9.333333333333334,11.833333333333334,6.935230000000002,47.68801,0.479693172667328,0.4668580324895174,1,True,0.06645803248951743,40
78,2018-01-01,Ceel Waaq,32041.53,6408.306000000001,2515.9009356,2274.3077994000005,241.59313620000003,0.3925999999999998,0.0377,0.0,34.19166666666667,0.2783333333333333,12.4,5.833333333333333,2.5,2.6789779999999994,41.44526,0.4315999999999999,0.2770029164634731,1,False,-0.1155970835365267,34
79,2018-01-01,Badhaadhe,50723.28,10144.656,3982.7919456,3600.3384144,382.45353120000016,0.3926000000000001,0.0377,0.09,35.37666666666667,0.5016666666666667,,1.5,3.0,-0.8536984000000002,41.42942,0.4316000000000001,0.3711192650605568,1,False,-0.021480734939443302,4
80,2018-01-01,Owdweyne,78004.845,15600.969,3163.876513200001,2514.8762028,649.0003104000001,0.2028,0.0416,0.3,16.495,0.15,,0.5,,9.257388,45.01097000000001,0.3406,0.2303423878316652,1,True,0.027542387831665183,61
81,2018-01-01,Bulo Burto,181435.5,36287.1,14246.31546,12878.29179,1368.02367,0.3926,0.0377,0.25,23.03,0.2733333333333333,23.333333333333332,3.8333333333333335,7.166666666666667,3.900063,45.53233,0.4290000000000001,0.3908949717937982,1,False,-0.0017050282062018307,20
82,2018-01-01,Hargeysa,1027923.705,205584.741,40623.54482159999,34476.561065699985,6146.9837559000025,0.1976,0.0299,0.14,16.698333333333334,0.0,11.166666666666666,7.666666666666667,4.8,9.521626,44.28073,0.3425891325819686,0.2386485041615721,1,True,0.0410485041615721,45
83,2018-01-01,Jariiban,83205.71999999999,16641.143999999997,6663.114057599999,5711.2406207999975,951.8734367999996,0.4004,0.0572,0.2,5.64,0.1416666666666667,,2.8333333333333335,,7.163778999999999,48.9986,0.4732,0.4050420526164857,1,True,0.0046420526164857034,50
84,2018-01-01,Afgooye,309683.38499999995,61936.677,21739.773627,16747.677460799998,4992.0961662,0.351,0.0805999999999999,0.0,21.791666666666668,0.2733333333333334,18.75,9.833333333333334,27.666666666666668,2.236402,45.07666,0.3692,0.3848590600688621,1,True,0.033859060068862135,1
85,2018-01-01,Bu'aale,93543.3,18708.66,7345.019915999997,6639.703433999999,705.3164820000003,0.3925999999999999,0.0377,0.0,38.975,0.42333333333333334,29.291666666666668,2.1666666666666665,,1.197985,42.7408,0.4316,0.4125181113098477,1,True,0.01991811130984783,19
86,2018-01-01,Xudun,42361.515,8472.303,2467.1346336,2147.7288105,319.4058231,0.2912,0.0377,0.34,7.319999999999999,0.11333333333333333,,0.8333333333333334,,9.141643,47.50746999999999,0.442,0.2431695325710332,1,False,-0.04803046742896683,74
87,2018-01-01,Borama,491879.61,98375.922,16625.530818000007,15090.866434800002,1534.6643832000002,0.1690000000000001,0.0156,0.04,36.94833333333333,0.20166666666666666,4.166666666666667,5.666666666666667,2.6666666666666665,10.18763,43.17024,0.3796,0.2406251937071188,1,True,0.0716251937071187,17
88,2018-01-01,Qardho,174970.88999999998,34994.178,12010.001889600002,10190.304633600002,1819.697256,0.3432000000000001,0.052,0.04,7.013333333333333,0.13,,1.6666666666666667,2.6666666666666665,9.502092,49.50764999999999,0.4112666438059597,0.5372761677527557,1,True,0.19407616775275555,64
89,2018-01-01,Ceerigaabo,239221.62,47844.324,16109.183890800005,14367.650497200002,1741.5333936000006,0.3367000000000001,0.0364,0.24,18.895,0.13333333333333333,44.166666666666664,3.8333333333333335,2.5,10.29076,47.8071,0.4446000000000001,0.3096083862495412,1,False,-0.02709161375045893,35
90,2018-01-01,Qansax Dheere,123818.085,24763.617,7146.779866200001,6180.998803199999,965.781063,0.2886,0.039,0.09,27.285,0.26666666666666666,20.833333333333332,6.666666666666667,2.25,2.81513,42.84011,0.3588,0.5092847348131929,1,True,0.2206847348131929,63
91,2018-01-01,Bossaso,316531.98,63306.39599999999,21726.7551072,18434.8225152,3291.932592000001,0.3432,0.052,0.01,9.083333333333334,0.14833333333333334,10.0,6.333333333333333,11.833333333333334,10.9218,49.39968,0.4160559934810628,0.4822106052595511,1,True,0.1390106052595511,18
92,2018-01-01,Gebiley,146038.5,29207.7,5771.441519999999,4898.131289999998,873.31023,0.1975999999999999,0.0299,0.13,23.338333333333335,0.20833333333333334,11.0,3.8333333333333335,1.0,9.859568,43.68093,0.3379999999999999,0.2443191130723181,1,True,0.046719113072318214,44
93,2018-01-01,Dhuusamarreeb,162957.645,32591.529,13727.5520148,11566.733642100002,2160.8183727,0.4212,0.0662999999999999,0.18,22.266666666666666,0.20833333333333334,10.666666666666666,5.666666666666667,3.0,5.441128,46.68404999999999,0.5273255872387238,0.3909032104916541,1,False,-0.03029678950834591,36
94,2018-01-01,Hobyo,142717.185,28543.437,11428.7921748,9796.1075784,1632.6845964,0.4003999999999999,0.0572,0.25,11.230000000000002,0.1366666666666667,,4.833333333333333,1.0,5.971543,48.20153,0.4732000000000001,0.3354148794445133,1,False,-0.06498512055548661,46
95,2018-01-01,Buuhoodle,71317.70999999999,14263.542,2892.6463176,2299.2829704,593.3633472,0.2028,0.0416,0.17,27.461666666666662,0.22166666666666668,,2.1666666666666665,2.4,8.460162,46.66129,0.3406000000000001,0.226129551832888,1,True,0.023329551832887985,23
96,2018-01-01,Burtinle,112734.27,22546.854,8558.785778399999,7386.349370399997,1172.436408,0.3796,0.052,0.08,10.768333333333333,0.18833333333333332,,4.0,1.0,7.802199000000001,48.39912,0.4524000000000001,0.4927859267135329,1,True,0.11318592671353289,22
97,2018-01-01,Afmadow,67386.78,13477.356000000002,5291.2099656,4783.113644399999,508.0963212,0.3926,0.0377,0.01,37.89833333333333,0.32166666666666666,48.333333333333336,5.0,5.6,0.5909003,41.78618,0.4206678541919456,0.3680877161916911,1,False,-0.024512283808308888,2
98,2018-01-01,Ceel Afweyn,137053.66499999998,27410.733,9229.1938011,8231.443119900001,997.7506812,0.3367,0.0364,0.27,17.48,0.13833333333333334,,4.0,1.0,10.14797,46.68845000000001,0.4446,0.2906972787612182,1,False,-0.046002721238781796,30
99,2018-01-01,Caynabo,69235.29,13847.058,4032.2632896,3510.229203000001,522.0340866,0.2912,0.0377,0.31,13.275,0.14833333333333334,,1.1666666666666667,1.6666666666666667,9.282376,46.49009,0.442,0.2428031590674251,1,False,-0.0483968409325749,29
100,2018-01-01,Jilib,103739.085,20747.817,8145.592954199998,7363.400253299997,782.1927009,0.3926,0.0377,0.09,32.443333333333335,0.39166666666666666,28.666666666666668,4.0,1.75,0.6450100000000001,43.05589000000001,0.4316000000000001,0.4060356888423295,1,True,0.013435688842329485,51
101,2018-01-01,Jamaame,169536.10499999998,33907.221,13311.9749646,12033.6727329,1278.3022317,0.3926,0.0377,0.25,23.810000000000002,0.3333333333333333,10.0,4.166666666666667,1.0,0.124303,42.80163000000001,0.4316000000000001,0.4077438698894172,1,True,0.015143869889417183,49
